date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2021-02-25,0.1220595,0.1444741,0.1223064,0.1104419,-2.66,-2.49375,-2.36,-1.80958,10,48
2021-02-26,0.1223967,0.1447687,0.1224989,0.1105835,-2.62417,-2.45417,-2.31333,-1.76896,10,48
2021-02-27,0.1380029,0.1501807,0.1245635,0.1116566,-1.64104,-1.7075,-1.85375,-1.61375,10,48
2021-02-28,0.1634306,0.1661706,0.1320219,0.1144273,-0.23167,-0.36875,-0.81333,-1.15979,10,48
2021-03-01,0.1511248,0.1638128,0.132499,0.1158298,-0.84979,-0.67813,-0.80437,-0.91708,10,48
2021-03-02,0.1407205,0.1550798,0.1293928,0.1156555,-1.89292,-1.58625,-1.36021,-0.985,10,48
2021-03-03,0.1410274,0.1533934,0.1276184,0.1147283,-1.78333,-1.685,-1.59562,-1.15062,10,48
2021-03-04,0.1628854,0.1763225,0.1377055,0.1239251,-0.57292,-0.63646,-0.81375,-0.80667,10,48
2021-03-05,0.1893715,0.2034596,0.1526413,0.1379278,-0.15021,-0.08146,-0.15813,-0.27167,10,48
2021-03-06,0.1600762,0.1823109,0.1470363,0.1362782,-1.38625,-0.91104,-0.65521,-0.39208,10,48
2021-03-07,0.1547973,0.1705727,0.1402507,0.1331459,-1.76396,-1.4975,-1.15208,-0.59708,10,48
2021-03-08,0.1612968,0.1743842,0.140557,0.1315898,-1.0725,-1.03167,-0.98771,-0.60333,10,48
2021-03-09,0.1754953,0.1850212,0.1446944,0.1322385,-0.25417,-0.31563,-0.4875,-0.46917,10,48
2021-03-10,0.198623,0.1900356,0.1470709,0.1328931,-0.14271,-0.18604,-0.33896,-0.43562,10,48
2021-03-11,0.2497511,0.218886,0.1580288,0.1481181,0.07729,-0.00896,-0.14458,-0.27625,10,48
2021-03-12,0.2814034,0.2537728,0.178989,0.1840152,0.2816,0.1156,-0.0236,-0.0638,10,48
2021-03-13,0.2894009,0.2660011,0.1880082,0.2080677,0.59313,0.28271,0.01375,0.03354,10,48
2021-03-14,0.3118487,0.2908762,0.1946996,0.2086414,0.90208,0.50438,0.04646,0.09375,10,48
2021-03-15,0.3234411,0.302197,0.2066858,0.2086107,0.63333,0.42604,0.08167,0.13354,10,48
2021-03-16,0.2717385,0.2914946,0.2130484,0.2020246,0.15958,0.24083,0.09792,0.1525,10,48
2021-03-17,0.2348745,0.2826906,0.2151116,0.1993125,0.06917,0.20688,0.09917,0.15979,10,48
2021-03-18,0.227298,0.2790957,0.2164815,0.1975174,0.21354,0.2425,0.09729,0.16188,10,48
2021-03-19,0.2277792,0.2784961,0.217208,0.196106,0.465,0.36313,0.11292,0.16375,10,48
2021-03-20,0.2365261,0.2823311,0.219317,0.1953048,0.51292,0.385,0.12333,0.17271,10,48
2021-03-21,0.2430526,0.2860498,0.2222908,0.1952487,0.22125,0.25771,0.12417,0.17417,10,48
2021-03-22,0.2515372,0.2879474,0.2234621,0.195469,0.6075,0.43979,0.14938,0.17771,10,48
2021-03-23,0.2623535,0.2939406,0.2296369,0.1982621,1.51354,0.90292,0.24938,0.18188,10,48
2021-03-24,0.2730283,0.3000105,0.2362604,0.1980793,1.84958,1.19563,0.385,0.18813,10,48
2021-03-25,0.2832575,0.3059463,0.2375782,0.1972814,2.25292,1.42563,0.51167,0.18958,10,48
